scenario,state,duration,probability,routine,start
92,state_92,1,4.39E-05,1,12
93,state_93,1,4.39E-05,1,12
94,state_94,1,4.39E-05,1,12
95,state_95,1,4.39E-05,1,12
96,state_96,1,4.39E-05,1,12
97,state_97,1,4.39E-05,1,12
98,state_98,1,4.39E-05,1,12
99,state_99,1,4.39E-05,1,12
100,state_100,1,4.39E-05,1,12
101,state_101,1,1.57E-06,0,12
102,state_102,1,1.57E-06,0,12
103,state_103,1,4.39E-05,1,12
104,state_104,1,4.39E-05,1,12
105,state_105,1,4.39E-05,1,12
106,state_106,1,4.39E-05,1,12
107,state_107,1,4.39E-05,1,12
108,state_108,1,4.39E-05,1,12
109,state_109,1,4.39E-05,1,12
110,state_110,1,4.39E-05,1,12
111,state_111,1,4.39E-05,1,12
112,state_112,1,4.39E-05,1,12
113,state_113,1,4.39E-05,1,12
114,state_114,1,4.39E-05,1,12
115,state_115,1,4.39E-05,1,12
116,state_116,1,4.39E-05,1,12
117,state_117,1,4.39E-05,1,12
118,state_118,1,4.39E-05,1,12
119,state_119,1,4.39E-05,1,12
120,state_120,1,4.39E-05,1,12
121,state_121,1,4.39E-05,1,12
122,state_122,1,4.39E-05,1,12
123,state_123,1,4.39E-05,1,12
124,state_124,1,4.39E-05,1,12
125,state_125,1,4.39E-05,1,12
126,state_126,1,4.39E-05,1,12
127,state_127,1,4.39E-05,1,12
128,state_128,1,4.39E-05,1,12
129,state_129,1,4.39E-05,1,12
130,state_130,1,4.39E-05,1,12
131,state_131,1,4.39E-05,1,12
132,state_132,1,4.39E-05,1,12
133,state_133,1,4.39E-05,1,12
134,state_134,1,4.39E-05,1,12
135,state_135,1,4.39E-05,1,12
136,state_136,1,4.39E-05,1,12
137,state_137,1,4.39E-05,1,12
138,state_138,1,4.39E-05,1,12
139,state_139,1,4.39E-05,1,12
140,state_140,1,4.39E-05,1,12
141,state_141,1,4.39E-05,1,12
142,state_142,1,4.39E-05,1,12
143,state_143,1,4.39E-05,1,12
144,state_144,1,4.39E-05,1,12
145,state_145,1,4.39E-05,1,12
146,state_146,1,4.39E-05,1,12
147,state_147,1,4.39E-05,1,12
148,state_148,1,4.39E-05,1,12
149,state_149,1,4.39E-05,1,12
150,state_150,1,4.39E-05,1,12
151,state_151,1,4.39E-05,1,12
152,state_152,1,4.39E-05,1,12
153,state_153,1,4.39E-05,1,12
154,state_154,1,4.39E-05,1,12
155,state_155,1,4.39E-05,1,12
156,state_156,1,4.39E-05,1,12
157,state_157,1,4.39E-05,1,12
158,state_158,1,4.39E-05,1,12
159,state_159,1,4.39E-05,1,12
160,state_160,1,4.39E-05,1,12
161,state_161,1,4.39E-05,1,12
162,state_162,1,4.39E-05,1,12
163,state_163,1,4.39E-05,1,12
164,state_164,1,4.39E-05,1,12
165,state_165,1,4.39E-05,1,12
166,state_166,1,4.39E-05,1,12
167,state_167,1,4.39E-05,1,12
168,state_168,1,4.39E-05,1,12
169,state_169,1,1.57E-06,0,12
170,state_170,1,1.57E-06,0,12
171,state_171,1,4.39E-05,1,12
172,state_172,1,4.39E-05,1,12
173,state_173,1,4.39E-05,1,12
174,state_174,1,4.39E-05,1,12
175,state_175,1,4.39E-05,1,12
176,state_176,1,4.39E-05,1,12
177,state_177,1,4.39E-05,1,12
178,state_178,1,4.39E-05,1,12
179,state_179,1,4.39E-05,1,12
180,state_180,1,4.39E-05,1,12
181,state_181,1,4.39E-05,1,12
182,state_182,1,4.39E-05,1,12
183,state_183,1,4.39E-05,1,12
184,state_184,1,4.39E-05,1,12
185,state_185,1,4.39E-05,1,12
186,state_186,1,4.39E-05,1,12
187,state_187,1,4.39E-05,1,12
188,state_188,1,4.39E-05,1,12
189,state_189,1,4.39E-05,1,12
190,state_190,1,4.39E-05,1,12
191,state_191,1,4.39E-05,1,12
192,state_192,1,4.39E-05,1,12
193,state_193,1,4.39E-05,1,12
194,state_194,1,4.39E-05,1,12
195,state_195,1,4.39E-05,1,12
196,state_196,1,4.39E-05,1,12
197,state_197,1,4.39E-05,1,12
198,state_198,1,4.39E-05,1,12
199,state_199,1,4.39E-05,1,12
200,state_200,1,4.39E-05,1,12
201,state_201,1,4.39E-05,1,12
202,state_202,1,4.39E-05,1,12
203,state_203,1,4.39E-05,1,12
204,state_204,1,4.39E-05,1,12
205,state_205,1,4.39E-05,1,12
206,state_206,1,4.39E-05,1,12
207,state_207,1,4.39E-05,1,12
208,state_208,1,4.39E-05,1,12
209,state_209,1,4.39E-05,1,12
210,state_210,1,4.39E-05,1,12
211,state_211,1,4.39E-05,1,12
212,state_212,1,4.39E-05,1,12
213,state_213,1,4.39E-05,1,12
214,state_214,1,4.39E-05,1,12
215,state_215,1,4.39E-05,1,12
216,state_216,1,4.39E-05,1,12
217,state_217,1,4.39E-05,1,12
218,state_218,1,4.39E-05,1,12
219,state_219,1,4.39E-05,1,12
220,state_220,1,4.39E-05,1,12
221,state_221,1,4.39E-05,1,12
222,state_222,1,4.39E-05,1,12
223,state_223,1,4.39E-05,1,12
224,state_224,1,4.39E-05,1,12
225,state_225,1,4.39E-05,1,12
226,state_226,1,4.39E-05,1,12
227,state_227,1,4.39E-05,1,12
228,state_228,1,4.39E-05,1,12
229,state_229,1,4.39E-05,1,12
230,state_230,1,4.39E-05,1,12
231,state_231,1,4.39E-05,1,12
232,state_232,1,4.39E-05,1,12
233,state_233,1,4.39E-05,1,12
234,state_234,1,4.39E-05,1,12
235,state_235,1,4.39E-05,1,12
236,state_236,1,4.39E-05,1,12
237,state_237,1,1.57E-06,0,12
238,state_238,1,1.57E-06,0,12
239,state_239,1,4.39E-05,1,12
240,state_240,1,4.39E-05,1,12
241,state_241,1,4.39E-05,1,12
242,state_242,1,4.39E-05,1,12
243,state_243,1,4.39E-05,1,12
244,state_244,1,4.39E-05,1,12
245,state_245,1,4.39E-05,1,12
246,state_246,1,4.39E-05,1,12
247,state_247,1,4.39E-05,1,12
248,state_248,1,4.39E-05,1,12
249,state_249,1,4.39E-05,1,12
250,state_250,1,4.39E-05,1,12
251,state_251,1,4.39E-05,1,12
252,state_252,1,4.39E-05,1,12
253,state_253,1,4.39E-05,1,12
254,state_254,1,4.39E-05,1,12
255,state_255,1,4.39E-05,1,12
256,state_256,1,4.39E-05,1,12
257,state_257,1,4.39E-05,1,12
258,state_258,1,4.39E-05,1,12
259,state_259,1,4.39E-05,1,12
260,state_260,1,4.39E-05,1,12
261,state_261,1,4.39E-05,1,12
262,state_262,1,4.39E-05,1,12
263,state_263,1,4.39E-05,1,12
264,state_264,1,4.39E-05,1,12
265,state_265,1,4.39E-05,1,12
266,state_266,1,4.39E-05,1,12
267,state_267,1,4.39E-05,1,12
268,state_268,1,4.39E-05,1,12
269,state_269,1,4.39E-05,1,12
270,state_270,1,4.39E-05,1,12
271,state_271,1,4.39E-05,1,12
272,state_272,1,4.39E-05,1,12
273,state_273,1,4.39E-05,1,12
274,state_274,1,4.39E-05,1,12
275,state_275,1,4.39E-05,1,12
276,state_276,1,4.39E-05,1,12
277,state_277,1,4.39E-05,1,12
278,state_278,1,4.39E-05,1,12
279,state_279,1,4.39E-05,1,12
280,state_280,1,4.39E-05,1,12
281,state_281,1,4.39E-05,1,12
282,state_282,1,4.39E-05,1,12
283,state_283,1,4.39E-05,1,12
284,state_284,1,4.39E-05,1,12
285,state_285,1,4.39E-05,1,12
286,state_286,1,4.39E-05,1,12
287,state_287,1,4.39E-05,1,12
288,state_288,1,4.39E-05,1,12
289,state_289,1,4.39E-05,1,12
290,state_290,1,4.39E-05,1,12
291,state_291,1,4.39E-05,1,12
292,state_292,1,4.39E-05,1,12
293,state_293,1,4.39E-05,1,12
294,state_294,1,4.39E-05,1,12
295,state_295,1,4.39E-05,1,12
296,state_296,1,4.39E-05,1,12
297,state_297,1,4.39E-05,1,12
298,state_298,1,4.39E-05,1,12
299,state_299,1,4.39E-05,1,12
300,state_300,1,4.39E-05,1,12
301,state_301,1,4.39E-05,1,12
302,state_302,1,4.39E-05,1,12
303,state_303,1,4.39E-05,1,12
304,state_304,1,4.39E-05,1,12
305,state_305,1,1.57E-06,0,12
306,state_306,1,1.57E-06,0,12
307,state_307,1,4.39E-05,1,12
308,state_308,1,4.39E-05,1,12
309,state_309,1,4.39E-05,1,12
310,state_310,1,4.39E-05,1,12
311,state_311,1,4.39E-05,1,12
312,state_312,1,4.39E-05,1,12
313,state_313,1,4.39E-05,1,12
314,state_314,1,4.39E-05,1,12
315,state_315,1,4.39E-05,1,12
316,state_316,1,4.39E-05,1,12
317,state_317,1,4.39E-05,1,12
318,state_318,1,4.39E-05,1,12
319,state_319,1,4.39E-05,1,12
320,state_320,1,4.39E-05,1,12
321,state_321,1,4.39E-05,1,12
322,state_322,1,4.39E-05,1,12
323,state_323,1,4.39E-05,1,12
324,state_324,1,4.39E-05,1,12
325,state_325,1,4.39E-05,1,12
326,state_326,1,4.39E-05,1,12
327,state_327,1,4.39E-05,1,12
328,state_328,1,4.39E-05,1,12
329,state_329,1,4.39E-05,1,12
330,state_330,1,4.39E-05,1,12
331,state_331,1,4.39E-05,1,12
332,state_332,1,4.39E-05,1,12
333,state_333,1,4.39E-05,1,12
334,state_334,1,4.39E-05,1,12
335,state_335,1,4.39E-05,1,12
336,state_336,1,4.39E-05,1,12
337,state_337,1,4.39E-05,1,12
338,state_338,1,4.39E-05,1,12
339,state_339,1,4.39E-05,1,12
340,state_340,1,4.39E-05,1,12
341,state_341,1,4.39E-05,1,12
342,state_342,1,4.39E-05,1,12
343,state_343,1,4.39E-05,1,12
344,state_344,1,4.39E-05,1,12
345,state_345,1,4.39E-05,1,12
346,state_346,1,4.39E-05,1,12
347,state_347,1,4.39E-05,1,12
348,state_348,1,4.39E-05,1,12
349,state_349,1,4.39E-05,1,12
350,state_350,1,4.39E-05,1,12
351,state_351,1,4.39E-05,1,12
352,state_352,1,4.39E-05,1,12
353,state_353,1,4.39E-05,1,12
354,state_354,1,4.39E-05,1,12
355,state_355,1,4.39E-05,1,12
356,state_356,1,4.39E-05,1,12
357,state_357,1,4.39E-05,1,12
358,state_358,1,4.39E-05,1,12
359,state_359,1,4.39E-05,1,12
360,state_360,1,4.39E-05,1,12
361,state_361,1,4.39E-05,1,12
362,state_362,1,4.39E-05,1,12
363,state_363,1,4.39E-05,1,12
364,state_364,1,4.39E-05,1,12
365,state_365,1,4.39E-05,1,12
366,state_366,1,4.39E-05,1,12
367,state_367,1,4.39E-05,1,12
368,state_368,1,4.39E-05,1,12
369,state_369,1,4.39E-05,1,12
370,state_370,1,4.39E-05,1,12
371,state_371,1,4.39E-05,1,12
372,state_372,1,4.39E-05,1,12
373,state_373,1,1.57E-06,0,12
374,state_374,1,1.57E-06,0,12
375,state_375,1,4.39E-05,1,12
376,state_376,1,4.39E-05,1,12
377,state_377,1,4.39E-05,1,12
378,state_378,1,4.39E-05,1,12
379,state_379,1,4.39E-05,1,12
380,state_380,1,4.39E-05,1,12
381,state_381,1,4.39E-05,1,12
382,state_382,1,4.39E-05,1,12
383,state_383,1,4.39E-05,1,12
384,state_384,1,4.39E-05,1,12
385,state_385,1,4.39E-05,1,12
386,state_386,1,4.39E-05,1,12
387,state_387,1,4.39E-05,1,12
388,state_388,1,4.39E-05,1,12
389,state_389,1,4.39E-05,1,12
390,state_390,1,4.39E-05,1,12
391,state_391,1,4.39E-05,1,12
392,state_392,1,4.39E-05,1,12
393,state_393,1,4.39E-05,1,12
394,state_394,1,4.39E-05,1,12
395,state_395,1,4.39E-05,1,12
396,state_396,1,4.39E-05,1,12
397,state_397,1,4.39E-05,1,12
398,state_398,1,4.39E-05,1,12
399,state_399,1,4.39E-05,1,12
400,state_400,1,4.39E-05,1,12
401,state_401,1,4.39E-05,1,12
402,state_402,1,4.39E-05,1,12
403,state_403,1,4.39E-05,1,12
404,state_404,1,4.39E-05,1,12
405,state_405,1,4.39E-05,1,12
406,state_406,1,4.39E-05,1,12
407,state_407,1,4.39E-05,1,12
408,state_408,1,4.39E-05,1,12
409,state_409,1,4.39E-05,1,12
410,state_410,1,4.39E-05,1,12
411,state_411,1,4.39E-05,1,12
412,state_412,1,4.39E-05,1,12
413,state_413,1,4.39E-05,1,12
414,state_414,1,4.39E-05,1,12
415,state_415,1,4.39E-05,1,12
416,state_416,1,4.39E-05,1,12
417,state_417,1,4.39E-05,1,12
418,state_418,1,4.39E-05,1,12
419,state_419,1,4.39E-05,1,12
420,state_420,1,4.39E-05,1,12
421,state_421,1,4.39E-05,1,12
422,state_422,1,4.39E-05,1,12
423,state_423,1,4.39E-05,1,12
424,state_424,1,4.39E-05,1,12
425,state_425,1,4.39E-05,1,12
426,state_426,1,4.39E-05,1,12
427,state_427,1,4.39E-05,1,12
428,state_428,1,4.39E-05,1,12
429,state_429,1,4.39E-05,1,12
430,state_430,1,4.39E-05,1,12
431,state_431,1,4.39E-05,1,12
432,state_432,1,4.39E-05,1,12
433,state_433,1,4.39E-05,1,12
434,state_434,1,4.39E-05,1,12
435,state_435,1,4.39E-05,1,12
436,state_436,1,4.39E-05,1,12
437,state_437,1,4.39E-05,1,12
438,state_438,1,4.39E-05,1,12
439,state_439,1,4.39E-05,1,12
440,state_440,1,4.39E-05,1,12
441,state_441,1,1.57E-06,0,12
442,state_442,1,1.57E-06,0,12
443,state_443,1,4.39E-05,1,12
444,state_444,1,4.39E-05,1,12
445,state_445,1,4.39E-05,1,12
446,state_446,1,4.39E-05,1,12
447,state_447,1,4.39E-05,1,12
448,state_448,1,4.39E-05,1,12
449,state_449,1,4.39E-05,1,12
450,state_450,1,4.39E-05,1,12
451,state_451,1,4.39E-05,1,12
452,state_452,1,4.39E-05,1,12
453,state_453,1,4.39E-05,1,12
454,state_454,1,4.39E-05,1,12
455,state_455,1,4.39E-05,1,12
456,state_456,1,4.39E-05,1,12
457,state_457,1,4.39E-05,1,12
458,state_458,1,4.39E-05,1,12
459,state_459,1,4.39E-05,1,12
460,state_460,1,4.39E-05,1,12
461,state_461,1,4.39E-05,1,12
462,state_462,1,4.39E-05,1,12
463,state_463,1,4.39E-05,1,12
464,state_464,1,4.39E-05,1,12
465,state_465,1,4.39E-05,1,12
466,state_466,1,4.39E-05,1,12
467,state_467,1,4.39E-05,1,12
468,state_468,1,4.39E-05,1,12
469,state_469,1,4.39E-05,1,12
470,state_470,1,4.39E-05,1,12
471,state_471,1,4.39E-05,1,12
472,state_472,1,4.39E-05,1,12
473,state_473,1,4.39E-05,1,12
474,state_474,1,4.39E-05,1,12
475,state_475,1,4.39E-05,1,12
476,state_476,1,4.39E-05,1,12
477,state_477,1,4.39E-05,1,12
478,state_478,1,4.39E-05,1,12
479,state_479,1,4.39E-05,1,12
480,state_480,1,4.39E-05,1,12
481,state_481,1,4.39E-05,1,12
482,state_482,1,4.39E-05,1,12
483,state_483,1,4.39E-05,1,12
484,state_484,1,4.39E-05,1,12
485,state_485,1,4.39E-05,1,12
486,state_486,1,4.39E-05,1,12
487,state_487,1,4.39E-05,1,12
488,state_488,1,4.39E-05,1,12
489,state_489,1,4.39E-05,1,12
490,state_490,1,4.39E-05,1,12
491,state_491,1,4.39E-05,1,12
492,state_492,1,4.39E-05,1,12
493,state_493,1,4.39E-05,1,12
494,state_494,1,4.39E-05,1,12
495,state_495,1,4.39E-05,1,12
496,state_496,1,4.39E-05,1,12
497,state_497,1,4.39E-05,1,12
498,state_498,1,4.39E-05,1,12
499,state_499,1,4.39E-05,1,12
500,state_500,1,4.39E-05,1,12
501,state_501,1,4.39E-05,1,12
502,state_502,1,4.39E-05,1,12
503,state_503,1,4.39E-05,1,12
504,state_504,1,4.39E-05,1,12
505,state_505,1,4.39E-05,1,12
506,state_506,1,4.39E-05,1,12
507,state_507,1,4.39E-05,1,12
508,state_508,1,4.39E-05,1,12
509,state_509,1,1.57E-06,0,12
510,state_510,1,1.57E-06,0,12
511,state_511,1,4.39E-05,1,12
512,state_512,1,4.39E-05,1,12
513,state_513,1,4.39E-05,1,12
514,state_514,1,4.39E-05,1,12
515,state_515,1,4.39E-05,1,12
516,state_516,1,4.39E-05,1,12
517,state_517,1,4.39E-05,1,12
518,state_518,1,4.39E-05,1,12
519,state_519,1,4.39E-05,1,12
520,state_520,1,4.39E-05,1,12
521,state_521,1,4.39E-05,1,12
522,state_522,1,4.39E-05,1,12
523,state_523,1,4.39E-05,1,12
524,state_524,1,4.39E-05,1,12
525,state_525,1,4.39E-05,1,12
526,state_526,1,4.39E-05,1,12
527,state_527,1,4.39E-05,1,12
528,state_528,1,4.39E-05,1,12
529,state_529,1,4.39E-05,1,12
530,state_530,1,4.39E-05,1,12
531,state_531,1,4.39E-05,1,12
532,state_532,1,4.39E-05,1,12
533,state_533,1,4.39E-05,1,12
534,state_534,1,4.39E-05,1,12
535,state_535,1,4.39E-05,1,12
536,state_536,1,4.39E-05,1,12
537,state_537,1,4.39E-05,1,12
538,state_538,1,4.39E-05,1,12
539,state_539,1,4.39E-05,1,12
540,state_540,1,4.39E-05,1,12
541,state_541,1,4.39E-05,1,12
542,state_542,1,4.39E-05,1,12
543,state_543,1,4.39E-05,1,12
544,state_544,1,4.39E-05,1,12
545,state_545,1,4.39E-05,1,12
546,state_546,1,4.39E-05,1,12
547,state_547,1,4.39E-05,1,12
548,state_548,1,4.39E-05,1,12
549,state_549,1,4.39E-05,1,12
550,state_550,1,4.39E-05,1,12
551,state_551,1,4.39E-05,1,12
552,state_552,1,4.39E-05,1,12
553,state_553,1,4.39E-05,1,12
554,state_554,1,4.39E-05,1,12
555,state_555,1,4.39E-05,1,12
556,state_556,1,4.39E-05,1,12
557,state_557,1,4.39E-05,1,12
558,state_558,1,4.39E-05,1,12
559,state_559,1,4.39E-05,1,12
560,state_560,1,4.39E-05,1,12
561,state_561,1,4.39E-05,1,12
562,state_562,1,4.39E-05,1,12
563,state_563,1,4.39E-05,1,12
564,state_564,1,4.39E-05,1,12
565,state_565,1,4.39E-05,1,12
566,state_566,1,4.39E-05,1,12
567,state_567,1,4.39E-05,1,12
568,state_568,1,4.39E-05,1,12
569,state_569,1,4.39E-05,1,12
570,state_570,1,4.39E-05,1,12
571,state_571,1,4.39E-05,1,12
572,state_572,1,4.39E-05,1,12
573,state_573,1,4.39E-05,1,12
574,state_574,1,4.39E-05,1,12
575,state_575,1,4.39E-05,1,12
576,state_576,1,4.39E-05,1,12
577,state_577,1,1.57E-06,0,12
578,state_578,1,1.57E-06,0,12
579,state_579,1,4.39E-05,1,12
580,state_580,1,4.39E-05,1,12
581,state_581,1,4.39E-05,1,12
582,state_582,1,4.39E-05,1,12
583,state_583,1,4.39E-05,1,12
584,state_584,1,4.39E-05,1,12
585,state_585,1,4.39E-05,1,12
586,state_586,1,4.39E-05,1,12
587,state_587,1,4.39E-05,1,12
588,state_588,1,4.39E-05,1,12
589,state_589,1,4.39E-05,1,12
590,state_590,1,4.39E-05,1,12
591,state_591,1,4.39E-05,1,12
592,state_592,1,4.39E-05,1,12
593,state_593,1,4.39E-05,1,12
594,state_594,1,4.39E-05,1,12
595,state_595,1,4.39E-05,1,12
596,state_596,1,4.39E-05,1,12
597,state_597,1,4.39E-05,1,12
598,state_598,1,4.39E-05,1,12
599,state_599,1,4.39E-05,1,12
600,state_600,1,4.39E-05,1,12
601,state_601,1,4.39E-05,1,12
602,state_602,1,4.39E-05,1,12
603,state_603,1,4.39E-05,1,12
604,state_604,1,4.39E-05,1,12
605,state_605,1,4.39E-05,1,12
606,state_606,1,4.39E-05,1,12
607,state_607,1,4.39E-05,1,12
608,state_608,1,4.39E-05,1,12
609,state_609,1,4.39E-05,1,12
610,state_610,1,4.39E-05,1,12
611,state_611,1,4.39E-05,1,12
612,state_612,1,4.39E-05,1,12
613,state_613,1,4.39E-05,1,12
614,state_614,1,4.39E-05,1,12
615,state_615,1,4.39E-05,1,12
616,state_616,1,4.39E-05,1,12
617,state_617,1,4.39E-05,1,12
618,state_618,1,4.39E-05,1,12
619,state_619,1,4.39E-05,1,12
620,state_620,1,4.39E-05,1,12
621,state_621,1,4.39E-05,1,12
622,state_622,1,4.39E-05,1,12
623,state_623,1,4.39E-05,1,12
624,state_624,1,4.39E-05,1,12
625,state_625,1,4.39E-05,1,12
626,state_626,1,4.39E-05,1,12
627,state_627,1,4.39E-05,1,12
628,state_628,1,4.39E-05,1,12
629,state_629,1,4.39E-05,1,12
630,state_630,1,4.39E-05,1,12
631,state_631,1,4.39E-05,1,12
632,state_632,1,4.39E-05,1,12
633,state_633,1,4.39E-05,1,12
634,state_634,1,4.39E-05,1,12
635,state_635,1,4.39E-05,1,12
636,state_636,1,4.39E-05,1,12
637,state_637,1,4.39E-05,1,12
638,state_638,1,4.39E-05,1,12
639,state_639,1,4.39E-05,1,12
640,state_640,1,4.39E-05,1,12
641,state_641,1,4.39E-05,1,12
642,state_642,1,4.39E-05,1,12
643,state_643,1,4.39E-05,1,12
644,state_644,1,4.39E-05,1,12
645,state_645,1,1.57E-06,0,12
646,state_646,1,1.57E-06,0,12
647,state_647,1,4.39E-05,1,12
648,state_648,1,4.39E-05,1,12
649,state_649,1,4.39E-05,1,12
650,state_650,1,4.39E-05,1,12
651,state_651,1,4.39E-05,1,12
652,state_652,1,4.39E-05,1,12
653,state_653,1,4.39E-05,1,12
654,state_654,1,4.39E-05,1,12
655,state_655,1,4.39E-05,1,12
656,state_656,1,4.39E-05,1,12
657,state_657,1,4.39E-05,1,12
658,state_658,1,4.39E-05,1,12
659,state_659,1,4.39E-05,1,12
660,state_660,1,4.39E-05,1,12
661,state_661,1,4.39E-05,1,12
662,state_662,1,4.39E-05,1,12
663,state_663,1,4.39E-05,1,12
664,state_664,1,4.39E-05,1,12
665,state_665,1,4.39E-05,1,12
666,state_666,1,4.39E-05,1,12
667,state_667,1,4.39E-05,1,12
668,state_668,1,4.39E-05,1,12
669,state_669,1,4.39E-05,1,12
670,state_670,1,4.39E-05,1,12
671,state_671,1,4.39E-05,1,12
672,state_672,1,4.39E-05,1,12
673,state_673,1,4.39E-05,1,12
674,state_674,1,4.39E-05,1,12
675,state_675,1,4.39E-05,1,12
676,state_676,1,4.39E-05,1,12
677,state_677,1,4.39E-05,1,12
678,state_678,1,4.39E-05,1,12
679,state_679,1,4.39E-05,1,12
680,state_680,1,4.39E-05,1,12
681,state_681,1,4.39E-05,1,12
682,state_682,1,4.39E-05,1,12
683,state_683,1,4.39E-05,1,12
684,state_684,1,4.39E-05,1,12
685,state_685,1,4.39E-05,1,12
686,state_686,1,4.39E-05,1,12
687,state_687,1,4.39E-05,1,12
688,state_688,1,4.39E-05,1,12
689,state_689,1,4.39E-05,1,12
690,state_690,1,4.39E-05,1,12
691,state_691,1,4.39E-05,1,12
692,state_692,1,4.39E-05,1,12
693,state_693,1,4.39E-05,1,12
694,state_694,1,4.39E-05,1,12
695,state_695,1,4.39E-05,1,12
696,state_696,1,4.39E-05,1,12
697,state_697,1,4.39E-05,1,12
698,state_698,1,4.39E-05,1,12
699,state_699,1,4.39E-05,1,12
700,state_700,1,4.39E-05,1,12
701,state_701,1,4.39E-05,1,12
702,state_702,1,4.39E-05,1,12
703,state_703,1,4.39E-05,1,12
704,state_704,1,4.39E-05,1,12
705,state_705,1,4.39E-05,1,12
706,state_706,1,4.39E-05,1,12
707,state_707,1,4.39E-05,1,12
708,state_708,1,4.39E-05,1,12
709,state_709,1,4.39E-05,1,12
710,state_710,1,4.39E-05,1,12
711,state_711,1,4.39E-05,1,12
712,state_712,1,4.39E-05,1,12
713,state_713,1,1.57E-06,0,12
714,state_714,1,1.57E-06,0,12
715,state_715,1,4.39E-05,1,12
716,state_716,1,4.39E-05,1,12
717,state_717,1,4.39E-05,1,12
718,state_718,1,4.39E-05,1,12
719,state_719,1,4.39E-05,1,12
720,state_720,1,4.39E-05,1,12
721,state_721,1,4.39E-05,1,12
722,state_722,1,4.39E-05,1,12
723,state_723,1,4.39E-05,1,12
724,state_724,1,4.39E-05,1,12
725,state_725,1,4.39E-05,1,12
726,state_726,1,4.39E-05,1,12
727,state_727,1,4.39E-05,1,12
728,state_728,1,4.39E-05,1,12
729,state_729,1,4.39E-05,1,12
730,state_730,1,4.39E-05,1,12
731,state_731,1,4.39E-05,1,12
732,state_732,1,4.39E-05,1,12
733,state_733,1,4.39E-05,1,12
734,state_734,1,4.39E-05,1,12
